"ING_SEQ","ING_NM","VEGE_CLASS_SEQ","EMISSIONS"
"4000111","아몬드","6","0.20"
"4000112","아몬드가루","6","0.20"
"4000113","아몬드슬라이스","6","0.20"
"4000114","은행","6","0.20"
"4000115","잣","6","0.20"
"4000116","캐슈넛","6","0.20"
"4000117","통아몬드","6","0.20"
"4000118","피스타치오","6","0.20"
"4000119","해바라기씨","6","0.20"
"4000120","호두","6","0.20"
"4000121","호박씨","6","0.20"
"4000122","혼합견과","6","0.20"
